user_variable,user_description,uid,relevance_score
geographic_site,"""Site where the subject was recruted. ARIC_A=field center A representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_B=field center B representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_C=field center C representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_D=field center D representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), CARDIA_1=field center 1 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_2=field center 2 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_3=field center 3 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_4=field center 4 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CHS_BOWMAN.GRAY=clinic at Bowman Gray University (Forsyth County, NC, USA) for CHS (Cardiovascular Health Study), CHS_DAVIS=clinic at Davis University (Sacramento County, CA, USA) for CHS (Cardiovascular Health Study), CHS_HOPKINS=clinic at Johns Hopkins University (Washington County, MD, USA) for CHS (Cardiovascular Health Study), CHS_PITT=clinic at University of Pittsburgh (Pittsburgh, PA, USA) for CHS (Cardiovascular Health Study), COPDGene_C01=clinical center C01 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C02=clinical center C02 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C03=clinical center C03 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C04=clinical center C04 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C05=clinical center C05 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C06=clinical center C06 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C07=clinical center C07 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C08=clinical center C08 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C09=clinical center C09 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C10=clinical center C10 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C11=clinical center C11 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C12=clinical center C12 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C13=clinical center C13 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C14=clinical center C14 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C15=clinical center C15 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C16=clinical center C16 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C17=clinical center C17 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C18=clinical center C18 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C19=clinical center C19 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C20=clinical center C20 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C21=clinical center C21 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), GENOA_MN=recruitment from Rochester, MN, US, GENOA_MS=recruitment from Jackson, MS, US, GOLDN_MN=recruitment center at Minneapolis, MN, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), GOLDN_UT=recruitment center at Salt Lake City, UT, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), HCHS_SOL_Bronx=recruitment center Bronx, NY, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Chicago=recruitment center Chicago, IL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Miami=recruitment center Miami, FL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_SanDiego=recruitment center San Diego, CA, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), JHS_Hinds=recruitment from urban and rural areas of Hinds county, MS, USA for JHS (Jackson Heart Study), JHS_Madison=recruitment from urban and rural areas of Madison county, MS, USA for JHS (Jackson Heart Study), JHS_Rankin=recruitment from urban and rural areas of Rankin county, MS, USA for JHS (Jackson Heart Study), JHS_Unknown=recruitment from unknown county in MS, USA for JHS (Jackson Heart Study), Mayo_VTE_Midwest_US=state of residence (at time of enrollment for Mayo_VTE study) is in the South region of the USA as defined by the Census Bureau, Mayo_VTE_Northeast_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Northeast region of the USA as defined by the Census Bureau, Mayo_VTE_non_US=state of residence (at time of enrollment for Mayo_VTE study) is from a country outside the USA, Mayo_VTE_South_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Midwest region of the USA as defined by the Census Bureau, Mayo_VTE_West_US=state of residence (at time of enrollment for Mayo_VTE study) is in the West region of the USA as defined by the Census Bureau, MESA_COL=field center/baseline clinic at Columbia University, NY, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_JHU=field center/baseline clinic at Johns Hopkins University, MD, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_NWU=field center/baseline clinic at Northwestern University, IL, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UCLA=field center/baseline clinic at University of California, Los Angeles, CA, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UMN=field center/baseline clinic at University of Minnesota, MN, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_WFU=field center/baseline clinic at Wake Forest University, NC, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), SAS_Apia.urban=recruitment census region of Apia Urban Area in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_NW.Upola=recruitment census region of Northwest Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_rest.Upola=recruitment census region including rest of Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_Savaii=recruitment census region of Savaii in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), WHI_Midwest=recruitment from Midwest region of the USA for WHI (Womens Health Initiative), WHI_Northeast=recruitment from Northeast region of the USA for WHI (Womens Health Initiative), WHI_South=recruitment from South region of the USA for WHI (Womens Health Initiative), WHI_West=recruitment from West region of the USA for WHI (Womens Health Initiative)"" (HARMONIZED)",127229.0,0.34543642
geographic_site,"""Site where the subject was recruted. ARIC_A=field center A representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_B=field center B representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_C=field center C representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_D=field center D representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), CARDIA_1=field center 1 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_2=field center 2 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_3=field center 3 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_4=field center 4 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CHS_BOWMAN.GRAY=clinic at Bowman Gray University (Forsyth County, NC, USA) for CHS (Cardiovascular Health Study), CHS_DAVIS=clinic at Davis University (Sacramento County, CA, USA) for CHS (Cardiovascular Health Study), CHS_HOPKINS=clinic at Johns Hopkins University (Washington County, MD, USA) for CHS (Cardiovascular Health Study), CHS_PITT=clinic at University of Pittsburgh (Pittsburgh, PA, USA) for CHS (Cardiovascular Health Study), COPDGene_C01=clinical center C01 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C02=clinical center C02 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C03=clinical center C03 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C04=clinical center C04 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C05=clinical center C05 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C06=clinical center C06 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C07=clinical center C07 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C08=clinical center C08 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C09=clinical center C09 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C10=clinical center C10 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C11=clinical center C11 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C12=clinical center C12 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C13=clinical center C13 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C14=clinical center C14 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C15=clinical center C15 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C16=clinical center C16 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C17=clinical center C17 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C18=clinical center C18 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C19=clinical center C19 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C20=clinical center C20 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C21=clinical center C21 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), GENOA_MN=recruitment from Rochester, MN, US, GENOA_MS=recruitment from Jackson, MS, US, GOLDN_MN=recruitment center at Minneapolis, MN, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), GOLDN_UT=recruitment center at Salt Lake City, UT, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), HCHS_SOL_Bronx=recruitment center Bronx, NY, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Chicago=recruitment center Chicago, IL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Miami=recruitment center Miami, FL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_SanDiego=recruitment center San Diego, CA, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), JHS_Hinds=recruitment from urban and rural areas of Hinds county, MS, USA for JHS (Jackson Heart Study), JHS_Madison=recruitment from urban and rural areas of Madison county, MS, USA for JHS (Jackson Heart Study), JHS_Rankin=recruitment from urban and rural areas of Rankin county, MS, USA for JHS (Jackson Heart Study), JHS_Unknown=recruitment from unknown county in MS, USA for JHS (Jackson Heart Study), Mayo_VTE_Midwest_US=state of residence (at time of enrollment for Mayo_VTE study) is in the South region of the USA as defined by the Census Bureau, Mayo_VTE_Northeast_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Northeast region of the USA as defined by the Census Bureau, Mayo_VTE_non_US=state of residence (at time of enrollment for Mayo_VTE study) is from a country outside the USA, Mayo_VTE_South_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Midwest region of the USA as defined by the Census Bureau, Mayo_VTE_West_US=state of residence (at time of enrollment for Mayo_VTE study) is in the West region of the USA as defined by the Census Bureau, MESA_COL=field center/baseline clinic at Columbia University, NY, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_JHU=field center/baseline clinic at Johns Hopkins University, MD, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_NWU=field center/baseline clinic at Northwestern University, IL, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UCLA=field center/baseline clinic at University of California, Los Angeles, CA, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UMN=field center/baseline clinic at University of Minnesota, MN, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_WFU=field center/baseline clinic at Wake Forest University, NC, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), SAS_Apia.urban=recruitment census region of Apia Urban Area in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_NW.Upola=recruitment census region of Northwest Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_rest.Upola=recruitment census region including rest of Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_Savaii=recruitment census region of Savaii in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), WHI_Midwest=recruitment from Midwest region of the USA for WHI (Womens Health Initiative), WHI_Northeast=recruitment from Northeast region of the USA for WHI (Womens Health Initiative), WHI_South=recruitment from South region of the USA for WHI (Womens Health Initiative), WHI_West=recruitment from West region of the USA for WHI (Womens Health Initiative)"" (HARMONIZED)",23167.0,0.3306873
geographic_site,"""Site where the subject was recruted. ARIC_A=field center A representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_B=field center B representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_C=field center C representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), ARIC_D=field center D representing one of four anonymized centers (Forsyth County, NC, USA; Jackson, MS, USA; the northwest suburbs of Minneapolis, MN, USA; and Washington County, MD, USA) where baseline exam was conducted for ARIC (Atherosclerosis Risk in Communities), CARDIA_1=field center 1 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_2=field center 2 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_3=field center 3 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CARDIA_4=field center 4 representing one of four anonymized field centers (University of Alabama, Birmingham, AL, USA; Northwestern University, IL, USA; University of Minnesota, MN, USA; Kaiser Foundation Research Institute, Oakland, CA, USA) for subjects in the CARE project within CARDIA (Coronary Artery Risk Development in Young Adults), CHS_BOWMAN.GRAY=clinic at Bowman Gray University (Forsyth County, NC, USA) for CHS (Cardiovascular Health Study), CHS_DAVIS=clinic at Davis University (Sacramento County, CA, USA) for CHS (Cardiovascular Health Study), CHS_HOPKINS=clinic at Johns Hopkins University (Washington County, MD, USA) for CHS (Cardiovascular Health Study), CHS_PITT=clinic at University of Pittsburgh (Pittsburgh, PA, USA) for CHS (Cardiovascular Health Study), COPDGene_C01=clinical center C01 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C02=clinical center C02 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C03=clinical center C03 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C04=clinical center C04 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C05=clinical center C05 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C06=clinical center C06 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C07=clinical center C07 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C08=clinical center C08 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C09=clinical center C09 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C10=clinical center C10 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C11=clinical center C11 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C12=clinical center C12 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C13=clinical center C13 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C14=clinical center C14 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C15=clinical center C15 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C16=clinical center C16 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C17=clinical center C17 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C18=clinical center C18 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C19=clinical center C19 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C20=clinical center C20 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), COPDGene_C21=clinical center C21 representing one of 21 de-identified clinical centers for COPDGene (Genetic Epidemiology of COPD), GENOA_MN=recruitment from Rochester, MN, US, GENOA_MS=recruitment from Jackson, MS, US, GOLDN_MN=recruitment center at Minneapolis, MN, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), GOLDN_UT=recruitment center at Salt Lake City, UT, USA for GOLDN (Genetics of Lipid Lowering Drugs and Diet Network Lipodemics Study), HCHS_SOL_Bronx=recruitment center Bronx, NY, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Chicago=recruitment center Chicago, IL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_Miami=recruitment center Miami, FL, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), HCHS_SOL_SanDiego=recruitment center San Diego, CA, USA for HCHS/SOL (Hispanic Community Health Study/Study of Latinos), JHS_Hinds=recruitment from urban and rural areas of Hinds county, MS, USA for JHS (Jackson Heart Study), JHS_Madison=recruitment from urban and rural areas of Madison county, MS, USA for JHS (Jackson Heart Study), JHS_Rankin=recruitment from urban and rural areas of Rankin county, MS, USA for JHS (Jackson Heart Study), JHS_Unknown=recruitment from unknown county in MS, USA for JHS (Jackson Heart Study), Mayo_VTE_Midwest_US=state of residence (at time of enrollment for Mayo_VTE study) is in the South region of the USA as defined by the Census Bureau, Mayo_VTE_Northeast_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Northeast region of the USA as defined by the Census Bureau, Mayo_VTE_non_US=state of residence (at time of enrollment for Mayo_VTE study) is from a country outside the USA, Mayo_VTE_South_US=state of residence (at time of enrollment for Mayo_VTE study) is in the Midwest region of the USA as defined by the Census Bureau, Mayo_VTE_West_US=state of residence (at time of enrollment for Mayo_VTE study) is in the West region of the USA as defined by the Census Bureau, MESA_COL=field center/baseline clinic at Columbia University, NY, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_JHU=field center/baseline clinic at Johns Hopkins University, MD, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_NWU=field center/baseline clinic at Northwestern University, IL, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UCLA=field center/baseline clinic at University of California, Los Angeles, CA, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_UMN=field center/baseline clinic at University of Minnesota, MN, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), MESA_WFU=field center/baseline clinic at Wake Forest University, NC, USA for MESA (Multi-Ethnic Study of Atherosclerosis Cohort), SAS_Apia.urban=recruitment census region of Apia Urban Area in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_NW.Upola=recruitment census region of Northwest Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_rest.Upola=recruitment census region including rest of Upola in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), SAS_Savaii=recruitment census region of Savaii in Samoa for SAS (Genome-wide Association Study of Adiposity in Samoans), WHI_Midwest=recruitment from Midwest region of the USA for WHI (Womens Health Initiative), WHI_Northeast=recruitment from Northeast region of the USA for WHI (Womens Health Initiative), WHI_South=recruitment from South region of the USA for WHI (Womens Health Initiative), WHI_West=recruitment from West region of the USA for WHI (Womens Health Initiative)"" (HARMONIZED)",100179.0,0.28051782
index_date,"""Indicates whether the time point reference begins at the donor's actual death, presumed death, or when the cross clamp was applied in the case of surgical donors.""",234515.0,0.6204491
index_date,"""Indicates whether the time point reference begins at the donor's actual death, presumed death, or when the cross clamp was applied in the case of surgical donors.""",74013.0,0.46247303
index_date,"""Indicates whether the time point reference begins at the donor's actual death, presumed death, or when the cross clamp was applied in the case of surgical donors.""",234449.0,0.35655868
transplanted_organ,"If the Donor was an Organ Donor, which Organs were donated.",35699.0,0.44960406
transplanted_organ,"If the Donor was an Organ Donor, which Organs were donated.",254733.0,0.26779097
transplanted_organ,"If the Donor was an Organ Donor, which Organs were donated.",34900.0,0.14535783
unit_geographic_site,"harmonization unit for site (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",242996.0,0.9967523
unit_geographic_site,"harmonization unit for site (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",242992.0,0.9775
unit_geographic_site,"harmonization unit for site (A ""harmonization unit"" is a defined group of subjects whose phenotypes can be similarly processed.) (HARMONIZED)",166998.0,0.96909106
cardiac_output,RV Cardiac output (l/min) (HARMONIZED),205079.0,0.9860443
cardiac_output,RV Cardiac output (l/min) (HARMONIZED),42413.0,0.7856377
cardiac_output,RV Cardiac output (l/min) (HARMONIZED),144968.0,0.7412996
age_at_bmi_baseline,age at measurement of bmi (years) (HARMONIZED),16680.0,0.40574303
age_at_bmi_baseline,age at measurement of bmi (years) (HARMONIZED),14898.0,0.28150436
age_at_bmi_baseline,age at measurement of bmi (years) (HARMONIZED),15157.0,0.25219983
age_at_height_baseline,age at measurement of height_baseline (years) (HARMONIZED),16530.0,0.7701192
age_at_height_baseline,age at measurement of height_baseline (years) (HARMONIZED),222980.0,0.744842
age_at_height_baseline,age at measurement of height_baseline (years) (HARMONIZED),16529.0,0.68130285
age_at_index,"The subject's age (in years) on the reference or anchor date used during date obfuscation (HARMONIZED). If age is greater than 89 years, see 'age_at_index_gt89'.",226270.0,0.41472104
age_at_index,"The subject's age (in years) on the reference or anchor date used during date obfuscation (HARMONIZED). If age is greater than 89 years, see 'age_at_index_gt89'.",17285.0,0.40374315
age_at_index,"The subject's age (in years) on the reference or anchor date used during date obfuscation (HARMONIZED). If age is greater than 89 years, see 'age_at_index_gt89'.",17616.0,0.13028543
age_at_index_gt89,Indicate whether the subject's age (in years) on the reference or anchor date used during date obfuscation (HARMONIZED) is greater than 89 years.,17616.0,0.8472108
age_at_index_gt89,Indicate whether the subject's age (in years) on the reference or anchor date used during date obfuscation (HARMONIZED) is greater than 89 years.,128269.0,0.55223787
age_at_index_gt89,Indicate whether the subject's age (in years) on the reference or anchor date used during date obfuscation (HARMONIZED) is greater than 89 years.,16399.0,0.263789
age_at_weight_baseline,age at measurement of weight_baseline (years) (HARMONIZED),16530.0,0.661595
age_at_weight_baseline,age at measurement of weight_baseline (years) (HARMONIZED),222980.0,0.6438893
age_at_weight_baseline,age at measurement of weight_baseline (years) (HARMONIZED),16529.0,0.5809465
annotated_sex,"Subject sex, as recorded by the study. (HARMONIZED)",211860.0,0.8147908
annotated_sex,"Subject sex, as recorded by the study. (HARMONIZED)",226588.0,0.7243831
annotated_sex,"Subject sex, as recorded by the study. (HARMONIZED)",103087.0,0.15190639
bmi_baseline,Body mass index calculated at baseline. (kg/m^2) (HARMONIZED),35519.0,0.9860443
bmi_baseline,Body mass index calculated at baseline. (kg/m^2) (HARMONIZED),31003.0,0.9757161
bmi_baseline,Body mass index calculated at baseline. (kg/m^2) (HARMONIZED),35505.0,0.89805347
ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino (HARMONIZED). The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",83708.0,0.37616467
ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino (HARMONIZED). The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",83705.0,0.34886694
